name,sport,price,surface,description,image
Pista Central,Tenis,25,Tierra Batida,Pista principal de tierra batida profesional,https://images.unsplash.com/photo-1751275061788-da7027355d60?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Pista Norte,Tenis,20,Hormigón,Pista rápida de hormigón recién reformada,https://images.unsplash.com/photo-1605143610936-7e1c15dcfbc9?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Pista Sur,Tenis,15,Hormigón,Pista rápida ideal para entrenamiento,https://images.unsplash.com/photo-1668507911709-0249e832618d?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Pista Cubierta 1,Pádel,15,Muro,Pista de muro interior con iluminación led,https://res.cloudinary.com/dye0jsxng/image/upload/v1766750137/pista_p%C3%A1del_1_vrybii.png
Pista Cubierta 2,Pádel,15,Cristal,Pista de cristal panorámica interior,https://res.cloudinary.com/dye0jsxng/image/upload/v1766750138/pista_de_p%C3%A1del_2_yyxcm8.png
Pista Exterior 1,Pádel,12,Cristal,Pista de cristal exterior zona jardín,https://images.unsplash.com/photo-1709587825415-814c2d7cfce7?q=80&w=627&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Pista Exterior 2,Pádel,10,Muro,Pista de muro exterior económica,https://res.cloudinary.com/dye0jsxng/image/upload/v1766750467/pista_de_p%C3%A1del_4_gzzhiz.png
Campo Fútbol 7 A,Fútbol,50,Césped Artificial,Campo de césped artificial última generación,https://images.unsplash.com/photo-1587907431742-bf06e316aa80?q=80&w=735&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Campo Fútbol 7 B,Fútbol,45,Césped Artificial,Campo de césped artificial zona norte,https://images.unsplash.com/photo-1652089771911-3b18a0858898?q=80&w=735&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Pabellón Basket,Baloncesto,30,Madera,Pista de parqué profesional interior,https://images.unsplash.com/photo-1572454181157-0b40dd7667fe?q=80&w=1201&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Pista Street Basket,Baloncesto,0,Hormigón,Pista exterior de hormigón acceso libre,https://images.unsplash.com/photo-1761596357156-8f32c85606ae?q=80&w=1112&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Pista Fútbol Sala,Fútbol Sala,25,Sintética,Pista sintética azul reglamentaria,https://images.unsplash.com/photo-1635843005792-720b6fc619f8?q=80&w=688&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Pista Central Pádel,Pádel,25,Cristal,Pista central con gradas para torneos,https://res.cloudinary.com/dye0jsxng/image/upload/v1766750627/pista_de_p%C3%A1del_5_hexzj9.png
Pista Entrenamiento,Tenis,15,Tierra Batida,Pista de tierra batida para clases,https://images.unsplash.com/photo-1590822185813-9f18a6910a42?q=80&w=1632&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Zona Multideporte,Fútbol Sala,12,Hormigón,Pista polivalente exterior,https://images.unsplash.com/photo-1755241113952-45f5d3eb8be3?q=80&w=694&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D